артикул;фото;размер ;вид украшения;стоимость;видео;описание украшения;Цвет фурнитуры;размер бусины;;
200;https://cloud.mail.ru/public/44k5/uURbJrr8j,https://cloud.mail.ru/public/gV8V/3ChKStHvx,https://cloud.mail.ru/public/6fHx/ok8Lesqfj,https://cloud.mail.ru/public/w9LE/kGhdT1EEc;37 см + удлинение на замке 5,5 см ;Чокер;1500;;Чокер из шоколадного гематита;ювелирный сплав с покрытием позолота;4 мм ;;
201;https://cloud.mail.ru/public/URgT/tAfKsQpJL,https://cloud.mail.ru/public/L7v5/1JFRZV4vY;33 см + удлинение на замке 5,5 см;Чокер ;1700;;Чокер из цветного циркона;ювелирный сплав с покрытием позолота;3,5 мм ;;
203;https://cloud.mail.ru/public/fbUd/jGzCR9iRb,https://cloud.mail.ru/public/3TN7/Lw4EQVjyf;33 см + удлинение на замке 5,5 см;Чокер ;3300;;Чокер из натурального жемчуга, качества ААА;ювелирный сплав с покрытием родий;;;
204;https://cloud.mail.ru/public/mnfV/Vxg4FN8oB,https://cloud.mail.ru/public/WdhR/9dA8B9HZM;33 см + удлинение на замке 5,5 см;Чокер;800;;Чокер из каучука с вставками из натуральной ракушки;ювелирный сплав с покрытием родий;;;
205;https://cloud.mail.ru/public/1P2W/wnTGzRof2,https://cloud.mail.ru/public/Gvt2/WG7ywRrcq;30 см + удлинение на замке 5,5 см;Чокер;900;;Чокер из каучука с акцентной бусиной листик из перламутра;ювелирный сплав с покрытием позолота;;;
206;https://cloud.mail.ru/public/BUW3/iXJH8RQPt,https://cloud.mail.ru/public/SfiV/zt4WbX8HS;36 см + удлинение на замке 5,5 см ;Чокер;1700;https://cloud.mail.ru/public/oRzQ/DEGrRCPWB;Чокер из циркона;ювелирный сплав с покрытием позолота;;;
207;https://cloud.mail.ru/public/4gsX/Y274jDnha;36 см + удлинение на замке 5,5 см ;Чокер;900;https://cloud.mail.ru/public/jMkh/D3HRpCeF6;Чокер из ювелирного стекла;ювелирный сплав с покрытием родий;;;
233;https://cloud.mail.ru/public/snsY/nwcWv1u4H,https://cloud.mail.ru/public/2M8d/LKbTkC2Y9;38 см + 5 см удлинение на замке;Чокер ;2100;https://cloud.mail.ru/public/u47t/N1TkvGsbd;Чокер из граната;ювелирный сплав с покрытием позолота;;;
249;https://cloud.mail.ru/public/tQJY/q57hpiavC;31см + удлинение на замке 5,5 см;Чокер ;800;;Чокер детский из каучука;ювелирный сплав с покрытием родий;;;
251;https://cloud.mail.ru/public/M7s5/NEHuhU9dG,https://cloud.mail.ru/public/WMcH/Fs9pz6UCi;36 см + удлинение на замке 5,5 см ;Чокер ;1900;;Чокер из аквамарина;ювелирный сплав с покрытием родий;;;
252;https://cloud.mail.ru/public/WDpQ/rrbvEGRaV,https://cloud.mail.ru/public/d357/maj7NDj6n;36 см + удлинение на замке 5,5 см ;Чокер из турмалина;2400;;;;;;
253;https://cloud.mail.ru/public/ZqRi/QiTVew2x1,https://cloud.mail.ru/public/ZP7x/r4rjnMpee;39 см + удлинение на замке 5,5 см ;Чокер из берила;2400;;;;;;
258;https://cloud.mail.ru/public/d2mM/RVyYM45Yt,https://cloud.mail.ru/public/9WZs/fP9AWNBzm;35 см + удлинение на замке 5,5 см ;Чокер из циркона;2100;;;;;;
262;https://cloud.mail.ru/public/tkeY/Vqivg88Jr,https://cloud.mail.ru/public/cf9e/UHzwBsyMR;36 см + удлинение на замке 5,5 см ;Чокер из желтой бирюзы;1600;;;;;;
272;https://cloud.mail.ru/public/wWfe/8wvv4QYSo;36 см + удлинение на замке 5,5 см ;Чокер из террагерца;1700;;;;;;
304;https://cloud.mail.ru/public/MeT1/zxHErUozj;33 см + удлинение на замке 5,5 см;Чокер из граната 4 мм;1900;https://cloud.mail.ru/public/UVcZ/cVYzygqzQ;;;;;
305;https://cloud.mail.ru/public/zEAQ/bo2e9yU63,https://cloud.mail.ru/public/hK6t/WhUkxiPoU;32 см + удлинение на замке 5,5 см ;Чокер детский с подвеской уточкой,бусиной из метала цветочек покрытие позолота и бусиной турмалина;1200;;;;;;
315;https://cloud.mail.ru/public/WoZo/rPHCvamnt,https://cloud.mail.ru/public/FKNg/qbiyysdXz;;Серьги покрытие родий с подвесками капля из агата;900;;;;;;
353;;;;;;;;;;
354;;;;;;;;;;
355;;;;;;;;;;
356;;;;;;;;;;
357;;;;;;;;;;
358;;;;;;;;;;
359;;;;;;;;;;
360;;;;;;;;;;
361;;;;;;;;;;
362;;;;;;;;;;
363;;;;;;;;;;
364;;;;;;;;;;
365;;;;;;;;;;
366;;;;;;;;;;